table_name       column_name  domain_name width scale nulls default       
linkitloc        llqtymax     numeric        12     3 N     (NULL)        
linklpappoint    llcode       numeric         6     0 N     autoincrement 
linklpappoint    llapcode     numeric         6     0 N     (NULL)        
linklpappoint    lllpcode     numeric         6     0 N     (NULL)        
linklpappoint    llusedpoint  numeric         6     0 Y     (NULL)        
linklpappoint    lldatepoint  timestamp       8     0 Y     (NULL)        
linkmaus         liuscode     char           50     0 N     (NULL)        
linkmaus         limacode     varchar        50     0 N     (NULL)        
linkmaus         limain       char            1     0 Y     (NULL)        
linkmcad         lkadcode     varchar        10     0 N     (NULL)        
linkmcad         lkmccode     varchar        10     0 N     (NULL)        
linkmcad2        lkadcode     char           10     0 N     (NULL)        
linkmcad2        lkmccode     char           10     0 N     (NULL)        
linkmcad2        lkidcptcust  varchar        30     0 Y     (NULL)        
linkmcad2        lktrfcptcust char            1     0 Y     (NULL)        
linkmcad2        lkactiv      char            1     0 Y     (NULL)        
linkmcad2        lkidcptsupp  varchar        30     0 Y     (NULL)        
linkmcad2        lktrfcptsupp char            1     0 Y     (NULL)        
linkmcad2        lkadmodif    char            1     0 Y     (NULL)        
linksaus         liuscode     char           50     0 N     (NULL)        
linksaus         lismcode     char            8     0 N     (NULL)        
linkusus         liuscode_1   char           50     0 N     (NULL)        
linkusus         liuscode_2   char           50     0 N     (NULL)        
lkitcl           licitcode    char           20     0 N     (NULL)        
lkitcl           licclid      numeric         9     0 N     (NULL)        
lkitcl           liccheck     char            1     0 Y     (NULL)        
locations        lccode       char            8     0 N     (NULL)        
locations        lcactiv      char            1     0 Y     (NULL)        
locations        lcmrpexcl    char            1     0 Y     (NULL)        
locations        lcautoalloc  char            1     0 Y     (NULL)        
locations        lcintext     char            1     0 Y     (NULL)        
locations        lcadcode     char           10     0 Y     (NULL)        
locations        lcifdefault  char            1     0 Y     (NULL)        
locations        lcseq        numeric         4     0 Y     (NULL)        
locations        lcexp        char            1     0 Y     (NULL)        
locations        lcpriority   numeric         3     0 Y     (NULL)        
locations        lcgroup      numeric         3     0 Y     (NULL)        
locations        lctypbuffer  char            1     0 Y     (NULL)        
locations        lclocprod    char            1     0 Y     (NULL)        
locations        lc_xmiss     char            1     0 Y     (NULL)        
locations        lc_exclpreps char            1     0 Y     'N'           
locations        lc_inactit   char            1     0 N     'Y'           
locations        lcdesc       varchar        30     0 N     ''            
lots             locode       char           30     0 N     (NULL)        
lots             loitem       char           20     0 N     (NULL)        
lots             lostatus     char            1     0 N     (NULL)        
